epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7105.47,1.12439,0.9613,1.37208,0.81934,0.70802,0.77635,0.40957,1.74212,1.12695,1.64718,0.0005941,0.0005941,0.0005941
43,7271.45,1.11824,0.94638,1.36558,0.79193,0.71365,0.75639,0.40234,1.74356,1.10682,1.61414,0.0005842,0.0005842,0.0005842
44,7437.48,1.11184,0.95106,1.3681,0.822,0.68734,0.77096,0.40386,1.77094,1.0894,1.67738,0.0005743,0.0005743,0.0005743
45,7603.79,1.11834,0.94763,1.36323,0.79441,0.70241,0.77298,0.40432,1.715,1.09599,1.63958,0.0005644,0.0005644,0.0005644
46,7770.35,1.1241,0.95668,1.37029,0.77329,0.74803,0.78901,0.4184,1.7353,1.0964,1.66648,0.0005545,0.0005545,0.0005545
47,7936.49,1.10317,0.93571,1.35391,0.83166,0.68301,0.78595,0.42776,1.73785,1.04621,1.63363,0.0005446,0.0005446,0.0005446
48,8102.85,1.1005,0.9212,1.35055,0.83331,0.66776,0.77809,0.43234,1.73867,1.07791,1.64399,0.0005347,0.0005347,0.0005347
49,8269.5,1.09323,0.90883,1.34991,0.86596,0.71979,0.80274,0.40828,1.76335,1.07937,1.67124,0.0005248,0.0005248,0.0005248
50,8435.99,1.09656,0.90892,1.34203,0.81278,0.71795,0.78563,0.41774,1.74604,1.06769,1.66099,0.0005149,0.0005149,0.0005149
51,8602.33,1.08401,0.8995,1.3396,0.83868,0.71554,0.80158,0.41391,1.76353,1.02655,1.66771,0.000505,0.000505,0.000505
52,8768.71,1.08117,0.89833,1.33774,0.77342,0.74001,0.7894,0.42884,1.68927,1.03719,1.59895,0.0004951,0.0004951,0.0004951
53,8934.92,1.07864,0.87978,1.3343,0.8035,0.73729,0.78622,0.42841,1.69405,1.01131,1.62496,0.0004852,0.0004852,0.0004852
54,9101.19,1.07689,0.88786,1.33234,0.81616,0.71009,0.78936,0.43416,1.68075,1.01036,1.60912,0.0004753,0.0004753,0.0004753
55,9268.06,1.07271,0.87812,1.32281,0.84222,0.72603,0.80862,0.43453,1.7006,0.98655,1.62279,0.0004654,0.0004654,0.0004654
56,9435.14,1.07391,0.88358,1.32718,0.81196,0.72152,0.79838,0.42939,1.74292,1.00898,1.66443,0.0004555,0.0004555,0.0004555
57,9601.62,1.05722,0.87149,1.31746,0.82062,0.72847,0.79309,0.44051,1.6841,0.97897,1.6398,0.0004456,0.0004456,0.0004456
58,9768.69,1.05835,0.8662,1.32063,0.80972,0.73794,0.79685,0.43458,1.72495,0.98971,1.65235,0.0004357,0.0004357,0.0004357
59,9935.44,1.06079,0.86118,1.32258,0.82173,0.73314,0.81373,0.45012,1.68932,0.9951,1.61604,0.0004258,0.0004258,0.0004258
60,10101.9,1.05443,0.85043,1.31295,0.82924,0.731,0.81539,0.44792,1.6728,0.98885,1.60095,0.0004159,0.0004159,0.0004159
61,10269.1,1.05489,0.85165,1.31087,0.82491,0.74118,0.81805,0.44848,1.69815,0.99641,1.61015,0.000406,0.000406,0.000406
62,10436.1,1.05078,0.8464,1.31265,0.86462,0.73527,0.82239,0.45313,1.68492,0.96493,1.60186,0.0003961,0.0003961,0.0003961
63,10603.3,1.03156,0.82827,1.30123,0.78614,0.75827,0.80586,0.44343,1.71622,0.97165,1.61504,0.0003862,0.0003862,0.0003862
64,10770.5,1.04122,0.82462,1.30342,0.84218,0.73623,0.81573,0.44021,1.69635,0.94497,1.61112,0.0003763,0.0003763,0.0003763
65,10937.6,1.02382,0.80352,1.2918,0.81768,0.74041,0.80534,0.4389,1.69626,0.97475,1.63148,0.0003664,0.0003664,0.0003664
66,11104.4,1.02542,0.82657,1.29653,0.84313,0.75349,0.8132,0.43522,1.71658,0.94989,1.64023,0.0003565,0.0003565,0.0003565
67,11275.9,1.02455,0.81596,1.29394,0.85774,0.75752,0.82257,0.45069,1.70239,0.9527,1.63854,0.0003466,0.0003466,0.0003466
68,11444.7,1.01975,0.81255,1.29551,0.84606,0.76639,0.82125,0.45768,1.68703,0.94192,1.62697,0.0003367,0.0003367,0.0003367
69,11612.4,1.00849,0.79607,1.28232,0.86751,0.75462,0.8362,0.45822,1.67505,0.9465,1.61162,0.0003268,0.0003268,0.0003268
70,11780.1,1.00481,0.79973,1.27894,0.88332,0.75674,0.84091,0.46719,1.65869,0.93108,1.60264,0.0003169,0.0003169,0.0003169
71,11947.2,1.00085,0.79304,1.27492,0.89683,0.73706,0.84119,0.46926,1.66176,0.93124,1.59875,0.000307,0.000307,0.000307
72,12114.2,1.0013,0.79108,1.27935,0.81965,0.78175,0.83817,0.46066,1.66938,0.95054,1.58833,0.0002971,0.0002971,0.0002971
73,12281.4,1.00156,0.79019,1.27815,0.88114,0.74786,0.83883,0.46015,1.66199,0.94722,1.58483,0.0002872,0.0002872,0.0002872
74,12448.3,1.00241,0.7828,1.2763,0.84453,0.73753,0.83329,0.46363,1.65766,0.9391,1.58174,0.0002773,0.0002773,0.0002773
75,12615.5,0.99959,0.77845,1.27375,0.77962,0.77126,0.82006,0.46774,1.62326,0.94394,1.56033,0.0002674,0.0002674,0.0002674
76,12782.5,0.99744,0.77962,1.27174,0.82656,0.75555,0.82713,0.46511,1.65292,0.92224,1.57829,0.0002575,0.0002575,0.0002575
77,12949.4,0.993,0.77315,1.26262,0.8521,0.75508,0.83549,0.46579,1.64374,0.9137,1.57263,0.0002476,0.0002476,0.0002476
78,13116.5,0.9764,0.75367,1.25864,0.85118,0.7463,0.8207,0.46415,1.64229,0.93313,1.56589,0.0002377,0.0002377,0.0002377
79,13283.4,0.97751,0.74972,1.2629,0.85234,0.7571,0.82456,0.46513,1.63872,0.92874,1.56847,0.0002278,0.0002278,0.0002278
80,13450.4,0.98765,0.76949,1.2629,0.853,0.76483,0.82697,0.46112,1.64922,0.91273,1.58078,0.0002179,0.0002179,0.0002179
81,13617.7,0.97457,0.75987,1.2596,0.8455,0.75687,0.82597,0.46725,1.63887,0.91286,1.56665,0.000208,0.000208,0.000208
82,13785,0.97803,0.74909,1.2588,0.86176,0.75387,0.82795,0.46776,1.65582,0.92623,1.57931,0.0001981,0.0001981,0.0001981
83,13952.2,0.96337,0.74356,1.25032,0.80131,0.80492,0.84502,0.47696,1.64615,0.90604,1.56146,0.0001882,0.0001882,0.0001882
84,14119.6,0.96759,0.74514,1.2498,0.81499,0.81366,0.84476,0.4801,1.62901,0.87723,1.55946,0.0001783,0.0001783,0.0001783
85,14286.9,0.96576,0.7391,1.24609,0.8534,0.785,0.85379,0.48262,1.62588,0.88895,1.5725,0.0001684,0.0001684,0.0001684
86,14453.9,0.9551,0.72911,1.24289,0.8535,0.78298,0.85594,0.48244,1.6368,0.88519,1.57324,0.0001585,0.0001585,0.0001585
87,14621.9,0.94856,0.7219,1.23813,0.8864,0.76317,0.85821,0.48434,1.62774,0.87535,1.56084,0.0001486,0.0001486,0.0001486
88,14792.9,0.95761,0.73731,1.24443,0.87713,0.74359,0.85609,0.48784,1.62146,0.88381,1.55885,0.0001387,0.0001387,0.0001387
89,14963.8,0.94347,0.72108,1.23638,0.86193,0.77443,0.85321,0.48212,1.62129,0.88394,1.56262,0.0001288,0.0001288,0.0001288
90,15137.6,0.9337,0.71038,1.23,0.86235,0.77886,0.85594,0.48779,1.61338,0.87941,1.55676,0.0001189,0.0001189,0.0001189
91,15329.7,0.8505,0.48627,1.14984,0.88478,0.75848,0.85417,0.48346,1.60411,0.87609,1.54971,0.000109,0.000109,0.000109
92,15500.2,0.84283,0.4601,1.14861,0.8624,0.76494,0.85281,0.4868,1.60009,0.87716,1.54685,9.91e-05,9.91e-05,9.91e-05
93,15670.7,0.83759,0.45149,1.14365,0.86142,0.75125,0.84957,0.4845,1.60118,0.88534,1.54784,8.92e-05,8.92e-05,8.92e-05
94,15840.4,0.82652,0.44553,1.13395,0.86519,0.75891,0.85131,0.48802,1.59715,0.88703,1.53805,7.93e-05,7.93e-05,7.93e-05
95,16010.4,0.82396,0.43932,1.12348,0.85509,0.77218,0.85265,0.48749,1.59149,0.88334,1.53426,6.94e-05,6.94e-05,6.94e-05
96,16180,0.8147,0.4393,1.12491,0.86858,0.77202,0.85177,0.4905,1.60431,0.88672,1.53712,5.95e-05,5.95e-05,5.95e-05
97,16349.2,0.80938,0.43619,1.12216,0.86704,0.7766,0.85446,0.48937,1.6156,0.88595,1.54064,4.96e-05,4.96e-05,4.96e-05
98,16519.4,0.80832,0.4319,1.12056,0.85938,0.79828,0.85494,0.49047,1.61822,0.88315,1.54193,3.97e-05,3.97e-05,3.97e-05
99,16691.2,0.80611,0.42745,1.11611,0.8741,0.79377,0.85373,0.48921,1.62347,0.88131,1.54643,2.98e-05,2.98e-05,2.98e-05
100,16862.1,0.79841,0.42658,1.11488,0.88139,0.7956,0.85614,0.4888,1.62189,0.88004,1.54396,1.99e-05,1.99e-05,1.99e-05
