epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5993.26,1.00612,0.86142,1.22606,0.79261,0.68324,0.74308,0.4041,1.66244,1.23324,1.57427,0.005842,0.005842,0.005842
44,6134.93,1.01935,0.86269,1.22736,0.80779,0.64644,0.71989,0.38269,1.72972,1.23605,1.60655,0.005743,0.005743,0.005743
45,6274.88,1.00855,0.84636,1.21878,0.79262,0.64353,0.74496,0.39945,1.69699,1.2165,1.57093,0.005644,0.005644,0.005644
46,6414.67,0.99288,0.83385,1.21343,0.80973,0.67174,0.74446,0.41496,1.72633,1.13158,1.61119,0.005545,0.005545,0.005545
47,6555.28,0.99889,0.82708,1.21537,0.78874,0.69583,0.7637,0.41679,1.75727,1.15951,1.62752,0.005446,0.005446,0.005446
48,6696.42,0.98995,0.82782,1.21291,0.76695,0.68086,0.74834,0.40887,1.69428,1.20927,1.58335,0.005347,0.005347,0.005347
49,6833.7,0.98406,0.81002,1.21166,0.76807,0.67221,0.74772,0.41165,1.66935,1.16407,1.57154,0.005248,0.005248,0.005248
50,6970.28,0.98599,0.81491,1.20628,0.86004,0.6524,0.75548,0.41402,1.695,1.15365,1.60256,0.005149,0.005149,0.005149
51,7109.42,0.98066,0.81215,1.20149,0.85441,0.69215,0.7692,0.43,1.64721,1.11094,1.59488,0.00505,0.00505,0.00505
52,7248.43,0.97671,0.80557,1.20066,0.84398,0.69225,0.784,0.43127,1.65245,1.11575,1.55463,0.004951,0.004951,0.004951
53,7386.49,0.97289,0.79934,1.19576,0.80827,0.67136,0.75933,0.4229,1.66708,1.09636,1.56432,0.004852,0.004852,0.004852
54,7525.09,0.97081,0.793,1.19617,0.79311,0.71183,0.78717,0.43948,1.64738,1.0856,1.53011,0.004753,0.004753,0.004753
55,7663.27,0.97016,0.78023,1.19147,0.79341,0.70825,0.78178,0.43247,1.66815,1.10586,1.53787,0.004654,0.004654,0.004654
56,7800.05,0.9636,0.77484,1.18945,0.80866,0.70229,0.77932,0.42656,1.69059,1.09309,1.57914,0.004555,0.004555,0.004555
57,7936.88,0.95321,0.76084,1.18251,0.84282,0.7052,0.78603,0.44192,1.67112,1.07014,1.55129,0.004456,0.004456,0.004456
58,8074.51,0.95175,0.76848,1.18515,0.80155,0.72037,0.78802,0.44516,1.63878,1.06123,1.54892,0.004357,0.004357,0.004357
59,8212.45,0.94464,0.75909,1.17774,0.85065,0.73784,0.80437,0.4451,1.63895,1.0411,1.56135,0.004258,0.004258,0.004258
60,8352.33,0.95289,0.76273,1.17958,0.83034,0.70113,0.78592,0.44722,1.64565,1.03619,1.54343,0.004159,0.004159,0.004159
61,8491.99,0.94141,0.74934,1.17497,0.81959,0.69699,0.78717,0.4375,1.63367,1.05177,1.53038,0.00406,0.00406,0.00406
62,8631,0.9547,0.75801,1.18555,0.81843,0.72782,0.7889,0.44578,1.64012,1.04155,1.5687,0.003961,0.003961,0.003961
63,8769.82,0.93033,0.74246,1.17414,0.80914,0.70209,0.78182,0.44233,1.64138,1.04303,1.54002,0.003862,0.003862,0.003862
64,8909.4,0.93429,0.72881,1.16841,0.86436,0.70278,0.7922,0.45291,1.65766,1.05026,1.54565,0.003763,0.003763,0.003763
65,9048.83,0.92649,0.72407,1.1657,0.79853,0.72829,0.79436,0.44434,1.65034,1.0274,1.53598,0.003664,0.003664,0.003664
66,9187.73,0.92553,0.72569,1.16205,0.83154,0.7091,0.77415,0.44436,1.63541,1.02513,1.53268,0.003565,0.003565,0.003565
67,9326.96,0.92246,0.72415,1.16482,0.84952,0.71183,0.79289,0.45696,1.63318,1.01178,1.53421,0.003466,0.003466,0.003466
68,9466.51,0.90945,0.70914,1.16038,0.7878,0.77214,0.80228,0.45451,1.63287,1.01161,1.54523,0.003367,0.003367,0.003367
69,9607,0.91986,0.71176,1.16112,0.79278,0.74267,0.79779,0.46271,1.62889,1.00185,1.5234,0.003268,0.003268,0.003268
70,9748.48,0.90942,0.70389,1.14953,0.78032,0.73535,0.80144,0.46435,1.6019,0.99716,1.51485,0.003169,0.003169,0.003169
71,9890.01,0.89893,0.69093,1.14922,0.79544,0.73499,0.78397,0.46375,1.60224,0.99271,1.5051,0.00307,0.00307,0.00307
72,10031.1,0.90521,0.6951,1.15341,0.81648,0.74064,0.79272,0.46741,1.6006,0.99452,1.51819,0.002971,0.002971,0.002971
73,10171.8,0.90064,0.68696,1.15071,0.82375,0.75618,0.80474,0.46434,1.60166,0.99199,1.51413,0.002872,0.002872,0.002872
74,10314,0.89447,0.68764,1.14614,0.8615,0.7321,0.80208,0.46631,1.61324,0.98865,1.51537,0.002773,0.002773,0.002773
75,10455.8,0.89846,0.68486,1.14804,0.83324,0.74237,0.79833,0.46401,1.62989,0.97384,1.54278,0.002674,0.002674,0.002674
76,10596.6,0.89057,0.67143,1.14097,0.84028,0.73732,0.80323,0.46856,1.63138,0.96982,1.55324,0.002575,0.002575,0.002575
77,10738.4,0.88469,0.65937,1.13723,0.88327,0.71315,0.81364,0.47381,1.60854,0.94836,1.53233,0.002476,0.002476,0.002476
78,10878.5,0.88547,0.66531,1.13541,0.84025,0.74515,0.8098,0.47132,1.58821,0.98664,1.50586,0.002377,0.002377,0.002377
79,11019.3,0.88052,0.66828,1.13132,0.84246,0.71881,0.80393,0.46936,1.58305,0.96593,1.51366,0.002278,0.002278,0.002278
80,11159.6,0.87141,0.65429,1.12959,0.83076,0.74976,0.81023,0.46644,1.6123,0.95858,1.532,0.002179,0.002179,0.002179
81,11297.5,0.86674,0.6445,1.12408,0.83974,0.75581,0.81332,0.46897,1.59887,0.94639,1.53225,0.00208,0.00208,0.00208
82,11436.8,0.86509,0.64456,1.1256,0.83816,0.75167,0.80712,0.47714,1.58702,0.96188,1.52659,0.001981,0.001981,0.001981
83,11576.3,0.8558,0.64522,1.12779,0.8505,0.74717,0.80997,0.47282,1.57954,0.94244,1.509,0.001882,0.001882,0.001882
84,11717,0.85585,0.63685,1.12246,0.8066,0.76744,0.80745,0.47597,1.60886,0.94963,1.53504,0.001783,0.001783,0.001783
85,11858,0.85113,0.62881,1.11947,0.8142,0.77072,0.81134,0.48378,1.59032,0.95598,1.52077,0.001684,0.001684,0.001684
86,11999.9,0.84546,0.63031,1.11599,0.84532,0.72989,0.809,0.4842,1.59187,0.96744,1.51454,0.001585,0.001585,0.001585
87,12141.2,0.84298,0.62447,1.11233,0.8153,0.76767,0.8127,0.48249,1.57937,0.96924,1.50643,0.001486,0.001486,0.001486
88,12282.8,0.84546,0.61688,1.11282,0.84426,0.74046,0.81543,0.47967,1.58079,0.96397,1.50321,0.001387,0.001387,0.001387
89,12423.5,0.83952,0.61089,1.11219,0.80487,0.78026,0.81674,0.48209,1.59592,0.95282,1.51333,0.001288,0.001288,0.001288
90,12564.3,0.83532,0.60928,1.10723,0.85341,0.74515,0.81955,0.47936,1.57684,0.95357,1.48482,0.001189,0.001189,0.001189
91,12700.5,0.82613,0.51117,1.08198,0.85992,0.73637,0.81577,0.48746,1.58397,0.94652,1.49026,0.00109,0.00109,0.00109
92,12836,0.80577,0.48944,1.07288,0.82368,0.72777,0.81847,0.48484,1.57698,0.93532,1.49155,0.000991,0.000991,0.000991
93,12972.2,0.80168,0.48014,1.06445,0.80159,0.76453,0.82128,0.4896,1.572,0.9315,1.49009,0.000892,0.000892,0.000892
94,13106.5,0.79375,0.47561,1.06244,0.81997,0.76342,0.82173,0.48848,1.57189,0.92351,1.48435,0.000793,0.000793,0.000793
95,13240.9,0.78571,0.46406,1.0559,0.8259,0.74448,0.8195,0.48386,1.57464,0.92159,1.48701,0.000694,0.000694,0.000694
96,13375.1,0.7792,0.4563,1.05416,0.82527,0.75416,0.81657,0.48902,1.57324,0.92125,1.48821,0.000595,0.000595,0.000595
97,13511.3,0.77024,0.44963,1.04433,0.81686,0.76271,0.81523,0.48626,1.56764,0.92202,1.48402,0.000496,0.000496,0.000496
98,13647.2,0.76348,0.44362,1.04367,0.85476,0.75137,0.81514,0.48761,1.56569,0.92775,1.4815,0.000397,0.000397,0.000397
99,13779.9,0.76727,0.44818,1.04942,0.85835,0.74726,0.8135,0.48543,1.57143,0.92605,1.48683,0.000298,0.000298,0.000298
100,13914.3,0.75977,0.44119,1.03731,0.85259,0.74787,0.81464,0.48711,1.57033,0.9228,1.48388,0.000199,0.000199,0.000199
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,0.88327,,,,,,,,
